Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw1,b10,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b12,0,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b2,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b4,0,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b6,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b8,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,d10,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,d12,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,d2,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,d4,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,d6,0,10,10,100,adoll,NA
barr,2011,29-May-11,brw1,d8,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f10,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f12,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f2,20,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f4,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f6,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,f8,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,h10,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,h12,15,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,h2,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,h4,5,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,h6,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,h8,0,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,j10,0,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,j12,5,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,j2,30,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,j4,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,j6,10,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,j8,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,l10,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,l12,0,5,5,100,adoll,NA
barr,2011,29-May-11,brw1,l2,50,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,l4,15,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,l6,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,l8,15,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,b10,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,b12,5,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,b2,70,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,b4,60,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,b6,50,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,b8,40,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,d10,50,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,d12,55,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,d2,80,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,d4,70,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,d6,75,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,d8,60,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,f10,55,5,5,100,adoll,NA
barr,2011,29-May-11,brw2,f12,70,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,f2,35,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,f4,80,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,f6,80,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,f8,60,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,h10,40,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,h12,10,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,h2,40,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,h4,40,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,h6,70,0,0,100,adoll,NA
barr,2011,29-May-11,brw2,h8,80,10,10,100,adoll,NA
barr,2011,29-May-11,brw2,j10,20,0,0,100,adoll,NA
